Species Tree Node	Duplications (all)	Duplications (50% support)
N0	4754	740
N1	4497	109
N6	6772	127
N7	2579	30
N9	1427	70
Trigoniulus_corallinus	3298	3298
Niponia_nodulosa	22642	22642
Rhysida_immarginata	7770	7770
Anaulaciulus_tonginus	15787	15787
Thereuonema_tuberculata	7699	7699
Lithobius_niger	16715	16715
N13	1647	795
Strigamia_maritima	3197	3197
Glomeris_maerens	3292	3292
N16	985	336
Branchiostoma_floridae	10527	10527
N14	1077	126
N17	2196	1151
N5	632	21
Litopenaeus_vannamei	7523	7523
Helicorthomorpha_holstii	4856	4856
N22	723	723
Stegodyphus_mimosarum	7028	7028
Tachypleus_tridentatus	13477	13477
N21	227	227
Centruroides_sculpturatus	9419	9419
Ixodes_scapularis	13336	13336
N18	8991	8991
Carcinoscorpius_rotundicauda	5853	5853
N10	975	251
Tribolium_castaneum	2111	2111
Eriocheir_sinensis	7638	7638
N12	905	905
N19	598	598
N15	747	411
Magallana_hongkongensis	21330	21330
Biomphalaria_straminea	14750	14750
Homo_sapiens	7396	7396
N11	267	267
Drosophila_melanogaster	2221	2221
Hypsibius_dujardini	7517	7517
N3	847	13
Caenorhabditis_elegans	6780	6780
N4	481	481
N2	201	201
N8	153	103
N20	73	73
