	Anaulaciulus_tonginus	Biomphalaria_straminea	Branchiostoma_floridae	Caenorhabditis_elegans	Carcinoscorpius_rotundicauda	Centruroides_sculpturatus	Drosophila_melanogaster	Eriocheir_sinensis	Glomeris_maerens	Helicorthomorpha_holstii	Homo_sapiens	Hypsibius_dujardini	Ixodes_scapularis	Lithobius_niger	Litopenaeus_vannamei	Magallana_hongkongensis	Niponia_nodulosa	Rhysida_immarginata	Stegodyphus_mimosarum	Strigamia_maritima	Tachypleus_tridentatus	Thereuonema_tuberculata	Tribolium_castaneum	Trigoniulus_corallinus
Anaulaciulus_tonginus	0.0	7952.0	7142.0	4664.0	4171.0	4659.0	5262.0	6355.0	8229.0	7027.0	4903.0	4867.0	5371.0	4477.0	4928.0	5655.0	9495.0	5183.0	4425.0	5190.0	3940.0	5124.0	5680.0	6418.0
Biomphalaria_straminea	3584.0	0.0	6701.0	3883.0	3019.0	3288.0	3901.0	3504.0	3793.0	4134.0	4418.0	3947.0	4114.0	3032.0	3709.0	6354.0	3538.0	4167.0	3393.0	3880.0	3217.0	3929.0	4269.0	4388.0
Branchiostoma_floridae	1650.0	2441.0	0.0	1955.0	1418.0	1615.0	1818.0	1723.0	1895.0	1977.0	2545.0	1888.0	2014.0	1601.0	2115.0	3005.0	1885.0	2011.0	1662.0	2025.0	1493.0	1942.0	2119.0	2187.0
Caenorhabditis_elegans	951.0	1137.0	1395.0	0.0	625.0	828.0	1244.0	1093.0	1128.0	1144.0	1006.0	968.0	1138.0	849.0	1099.0	1324.0	1044.0	1100.0	887.0	1181.0	607.0	1058.0	1236.0	1236.0
Carcinoscorpius_rotundicauda	8275.0	7536.0	9598.0	6662.0	0.0	8211.0	8989.0	7359.0	8995.0	9907.0	4243.0	7279.0	11067.0	6769.0	8314.0	8454.0	8267.0	9836.0	9241.0	9147.0	7192.0	9002.0	9840.0	10606.0
Centruroides_sculpturatus	4532.0	4691.0	5981.0	4098.0	3371.0	0.0	5199.0	4312.0	5187.0	5448.0	3579.0	4242.0	5796.0	3853.0	4998.0	5219.0	4550.0	5613.0	5176.0	5160.0	3476.0	5022.0	5660.0	6065.0
Drosophila_melanogaster	994.0	1033.0	1346.0	1113.0	690.0	727.0	0.0	926.0	1095.0	1151.0	975.0	1040.0	1073.0	862.0	967.0	1216.0	1058.0	1126.0	915.0	1169.0	761.0	1024.0	1399.0	1274.0
Eriocheir_sinensis	3562.0	5294.0	5950.0	3818.0	2849.0	3088.0	3657.0	0.0	3980.0	3433.0	4218.0	3622.0	3271.0	2786.0	2978.0	4109.0	4882.0	3083.0	2845.0	2894.0	2583.0	3036.0	3664.0	2733.0
Glomeris_maerens	2169.0	2980.0	3971.0	2622.0	1809.0	2243.0	3013.0	2443.0	0.0	2724.0	2492.0	2714.0	2960.0	1692.0	2606.0	3158.0	2220.0	2557.0	2179.0	2578.0	1924.0	2547.0	3257.0	2794.0
Helicorthomorpha_holstii	2062.0	1742.0	2164.0	1563.0	1205.0	1419.0	1712.0	1512.0	2394.0	0.0	1581.0	1548.0	1648.0	1457.0	1541.0	2059.0	2430.0	1845.0	1461.0	1599.0	1164.0	1820.0	1959.0	2194.0
Homo_sapiens	3859.0	4202.0	6106.0	3986.0	1926.0	3084.0	4731.0	3453.0	4048.0	4975.0	0.0	3922.0	5015.0	2836.0	3914.0	4973.0	3983.0	4614.0	3179.0	4633.0	1896.0	4231.0	5072.0	5262.0
Hypsibius_dujardini	1463.0	1840.0	2283.0	1683.0	1033.0	1316.0	1722.0	1599.0	1696.0	1749.0	1485.0	0.0	1729.0	1399.0	1565.0	2049.0	1599.0	1800.0	1341.0	1775.0	1143.0	1663.0	1808.0	1743.0
Ixodes_scapularis	2015.0	1958.0	2387.0	1590.0	1607.0	2078.0	2212.0	2601.0	2245.0	2152.0	1925.0	1727.0	0.0	2286.0	2239.0	2604.0	1892.0	2942.0	2616.0	2367.0	1962.0	2469.0	2248.0	2251.0
Lithobius_niger	7032.0	7619.0	9906.0	6450.0	5541.0	6397.0	7834.0	6930.0	8256.0	8473.0	6716.0	6709.0	8380.0	0.0	7280.0	8424.0	7354.0	9595.0	6758.0	8231.0	6011.0	8866.0	8808.0	8869.0
Litopenaeus_vannamei	3012.0	3114.0	4331.0	3001.0	2331.0	2732.0	4072.0	5242.0	3497.0	3702.0	2811.0	3212.0	3683.0	2768.0	0.0	3742.0	3273.0	3714.0	2927.0	3544.0	2499.0	3493.0	4507.0	4212.0
Magallana_hongkongensis	2792.0	5325.0	5849.0	2937.0	2511.0	2701.0	2986.0	2666.0	3029.0	3335.0	3549.0	3095.0	3273.0	2595.0	3211.0	0.0	2991.0	3430.0	2815.0	3094.0	2554.0	2950.0	3297.0	3533.0
Niponia_nodulosa	10458.0	7859.0	6483.0	4142.0	4401.0	3850.0	4636.0	7871.0	9593.0	10002.0	4591.0	4236.0	4448.0	4611.0	4269.0	4951.0	0.0	4656.0	3694.0	4292.0	3182.0	4508.0	4799.0	4908.0
Rhysida_immarginata	2834.0	3087.0	4413.0	2649.0	2296.0	3035.0	3148.0	2759.0	3337.0	3582.0	3058.0	2911.0	3376.0	3025.0	3138.0	3430.0	3029.0	0.0	2936.0	3144.0	2538.0	3426.0	3573.0	3655.0
Stegodyphus_mimosarum	3508.0	4085.0	5585.0	3499.0	2302.0	4484.0	4392.0	3732.0	4163.0	4560.0	3194.0	3762.0	4305.0	2955.0	4171.0	5983.0	3711.0	4947.0	0.0	4181.0	2425.0	4682.0	4766.0	4842.0
Strigamia_maritima	1235.0	1435.0	1983.0	1336.0	1005.0	1288.0	1534.0	1347.0	1578.0	1556.0	1243.0	1449.0	1668.0	1560.0	1522.0	1624.0	1404.0	1728.0	1417.0	0.0	1212.0	1729.0	1767.0	1595.0
Tachypleus_tridentatus	7690.0	7247.0	8960.0	6187.0	10355.0	7742.0	8328.0	7198.0	8438.0	9337.0	4008.0	6879.0	10273.0	6494.0	7872.0	8262.0	8006.0	9689.0	8963.0	8514.0	0.0	8829.0	9259.0	9936.0
Thereuonema_tuberculata	3437.0	3936.0	5008.0	3154.0	2875.0	3027.0	3662.0	3320.0	3998.0	4276.0	3674.0	3323.0	3984.0	3493.0	3607.0	4214.0	3637.0	4333.0	3448.0	3790.0	3149.0	0.0	4119.0	4530.0
Tribolium_castaneum	685.0	826.0	1044.0	863.0	508.0	541.0	1101.0	705.0	759.0	823.0	737.0	721.0	785.0	625.0	819.0	919.0	761.0	858.0	703.0	874.0	526.0	751.0	0.0	891.0
Trigoniulus_corallinus	1060.0	1087.0	1370.0	1036.0	791.0	1007.0	1096.0	1236.0	1423.0	1300.0	918.0	1035.0	1059.0	1037.0	1228.0	1208.0	1028.0	1254.0	1114.0	1104.0	854.0	1208.0	1404.0	0.0
